,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y
1225,Bluezone,InSungBoSo,3.0,155901.8,378564.2,ERANGEL,2U4GBNA0Ymlc7rVx0xWH7j4xfGd-zpHO2dN9AJ11-bFd9E-Jkmoa_BTnfqg_aOHQ,1879.0,BroThatTickles,,162219.9,379844.1
231,UMP9,berty69,7.0,410245.8,302226.6,ERANGEL,2U4GBNA0YmnRe95wOy7kuweIkuZo5Roa0WjNZsgboi2gzzznOC6Y8whI5V4TH5Qm,320.0,Joki123321,36.0,410241.8,300585.8
6511,M16A4,dapanji_seattle,37.0,467756.3,645008.1,ERANGEL,2U4GBNA0YmlMqUy26Nx8Rmm3UjhNVwg6rFwjs4FGnjp83bGmwSELWoDpqkrt6FPZ,132.0,THC_Savage,45.0,468194.8,644747.6
3090,AKM,PingYI6,14.0,467960.1,368821.8,ERANGEL,2U4GBNA0YmldsmcWI8PBcmvfdJUtUv9LuMt1MAUqG9aDvVtzvPIGelkR4_3xjGY3,572.0,Melvinolio,27.0,467757.1,368767.8
352,Bluezone,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1650.0,YowyyCpone,2.0,165597.2,539061.9
2786,M416,Tng555,21.0,451736.4,620630.7,ERANGEL,2U4GBNA0Ymk7iBtHUx6-_dZyjrvKVPMSmiZKzhovvtZ6clOi9vMdQGJIxPEv4HO6,403.0,CocaCola___,24.0,451480.0,621446.9
2794,AKM,HHHZZKHHH,24.0,431865.3,639942.1,ERANGEL,2U4GBNA0Ymk7iBtHUx6-_dZyjrvKVPMSmiZKzhovvtZ6clOi9vMdQGJIxPEv4HO6,160.0,haha713,33.0,437444.8,640147.3
5874,M416,zhuzhenan1996,16.0,376560.2,601248.9,ERANGEL,2U4GBNA0YmmB9L7Ft8k_V5zo5bx1lULaksuMig43hz2WiJI2Srn46w8mB0cNMeSJ,781.0,xushuhao1984,19.0,372590.5,594949.0
3322,SCAR-L,Gaooninja,2.0,375324.1,639129.6,ERANGEL,2U4GBNA0YmkbaxRIRrLkucLQeELe8PYIRW3ZTi14fb52Wekl7vpPELmehRhsccYG,1722.0,Rambo366,4.0,367008.3,657687.4
6717,Uaz,xi-gua-007,39.0,552640.3,543925.7,ERANGEL,2U4GBNA0YmmJfFpXZ-QZQs8br_sVYD6XGe3CDoGgnAM66kAufAzFoILJ0LgfQMq0,771.0,qwas55,42.0,552066.3,536407.4
4804,M16A4,smallXPYNPC,1.0,336819.2,157703.6,ERANGEL,2U4GBNA0YmnNaxE1IF0R8b5H-SePLyeMyyIrtEPySH7IYKSofTRFs441FMT93y3K,223.0,GAVINJIANG1,30.0,335118.3,157067.0
3427,Grenade,BirdCorn,2.0,556466.0,486439.9,ERANGEL,2U4GBNA0YmkpfMEoYocYZGCkLIZxf_dSclL_3Uka55GkexzQT_BfyFFNs0d766rH,1132.0,LiHbbx,8.0,556494.4,481381.5
1471,M416,itzschizophrenia,22.0,194324.7,300729.2,ERANGEL,2U4GBNA0YmltdlEYw5AmXmDdUW5i2vyhBrlQeNFBgmYyzDpsc787A_hENiNlx6I5,435.0,sadas3d23as10d,20.0,194126.4,300571.7
6968,Down and Out,Raisu_Paisen,4.0,510904.4,258809.2,MIRAMAR,2U4GBNA0Ymk1Jt6GjNIWPblco_2J6IKXz_yq5seSwKYZDaeFd2S90A1rG-cBWFKe,1667.0,XIBANYAXIANBING,5.0,501202.3,243421.9
